# lat,lng,id,name,building_type,type
# Scalea -- Tutti
39.804499,15.794543,osm_il_peperoncino_39.8045_15.7945,Il peperoncino,ristorante,ristorante
39.807862,15.793804,osm_doppio_zero_39.8079_15.7938,Doppio Zero,ristorante,ristorante
39.813847,15.791727,osm_pizzeria_la_piazzetta_39.8138_15.7917,Pizzeria La piazzetta,ristorante,ristorante
39.814681,15.789123,osm_hotel_genova_39.8147_15.7891,Hotel Genova,ristorante,ristorante
39.804987,15.792908,osm_ristorante_pizzeria_le_mimose_39.8050_15.7929,Ristorante Pizzeria Le Mimose,ristorante,ristorante
39.820463,15.811736,ov_farmhouse_la_rondinella_39.8205_15.8117,Farmhouse La Rondinella,RESTAURANT,ristorante
39.785982,15.820831,ov_trattoria_il_gallo_bianco_39.7860_15.8208,Trattoria Il Gallo Bianco,RESTAURANT,ristorante
39.791149,15.801862,ov_ristorante_pizzeria_le_due_fontane_39.7911_15.8019,Ristorante Pizzeria Le Due Fontane,RESTAURANT,ristorante
39.804861,15.800983,ov_il_centro_del_gusto_39.8049_15.8010,Il Centro Del Gusto,RESTAURANT,ristorante
39.807780,15.796852,ov_lo_sfizietto_39.8078_15.7969,Lo Sfizietto,RESTAURANT,ristorante
39.807540,15.796380,ov_visit_scalea_39.8075_15.7964,Visit Scalea,RESTAURANT,ristorante
39.805834,15.798498,ov_gustul_romanesc_39.8058_15.7985,Gustul Romanesc,RESTAURANT,ristorante
39.804359,15.797300,ov_da_mim__pizzeria_39.8044_15.7973,Da MiMì Pizzeria,RESTAURANT,ristorante
39.804312,15.800093,ov_azienda_agrituristica_la_rondinella_39.8043_15.8001,Azienda Agrituristica La Rondinella,RESTAURANT,ristorante
39.800686,15.798515,ov_timi_sushi_39.8007_15.7985,Timi Sushi,RESTAURANT,ristorante
39.802272,15.794770,ov_la_braceria_di_nina_ed_egidio_39.8023_15.7948,La Braceria di Nina ed Egidio,RESTAURANT,ristorante
39.797394,15.796183,ov_la_vecchia_fattoria_39.7974_15.7962,La Vecchia Fattoria,RESTAURANT,ristorante
39.798763,15.792156,ov_tokyo_sushi_39.7988_15.7922,Tokyo sushi,RESTAURANT,ristorante
39.800470,15.791960,ov_pav__soul_restaurant_39.8005_15.7920,Pavá Soul Restaurant,RESTAURANT,ristorante
39.805042,15.792888,ov_pizzeria_le_mimose_39.8050_15.7929,Pizzeria Le Mimose,RESTAURANT,ristorante
39.804552,15.794542,ov_il_peperoncino_39.8046_15.7945,Il Peperoncino,RESTAURANT,ristorante
39.805230,15.794613,ov_scaleacialde_39.8052_15.7946,Scaleacialde,RESTAURANT,ristorante
39.808381,15.795619,ov_pizzeria_ohim__scalea_39.8084_15.7956,Pizzeria Ohimá Scalea,RESTAURANT,ristorante
39.807751,15.793858,ov_doppio_zero_pizzeria_39.8078_15.7939,Doppio Zero Pizzeria,RESTAURANT,ristorante
39.806433,15.791330,ov_fresco_di_mare_39.8064_15.7913,Fresco di Mare,RESTAURANT,ristorante
39.805974,15.791373,ov_chalet_liberato_39.8060_15.7914,Chalet Liberato,RESTAURANT,ristorante
39.805985,15.791437,ov_pizzeria_il_chioschetto_39.8060_15.7914,Pizzeria Il Chioschetto,RESTAURANT,ristorante
39.804775,15.790871,ov_scalea___corso_mediterraneo_39.8048_15.7909,Scalea - Corso Mediterraneo,RESTAURANT,ristorante
39.791811,15.792257,ov_ristorante_nausicaa_stabilimento_balnear_39.7918_15.7923,Ristorante Nausicaa Stabilimento Balneare,RESTAURANT,ristorante
39.794413,15.791851,ov_la_perla_del_tirreno_39.7944_15.7919,La Perla del Tirreno,RESTAURANT,ristorante
39.772416,15.798901,ov_lungo_mare_mediterraneo_scalea_39.7724_15.7989,Lungo Mare Mediterraneo Scalea,RESTAURANT,ristorante
39.827415,15.780631,ov_il_fornaio_francois_bernard_39.8274_15.7806,Il Fornaio Francois Bernard,RESTAURANT,ristorante
39.822025,15.778203,ov_baia_club_39.8220_15.7782,BAIA Club,RESTAURANT,ristorante
39.814328,15.787042,ov_lido_el_marinero_39.8143_15.7870,Lido El Marinero,RESTAURANT,ristorante
39.816212,15.787130,ov_la_scogliera_39.8162_15.7871,La Scogliera,RESTAURANT,ristorante
39.817318,15.786261,ov_l_ancora_39.8173_15.7863,L'Ancora,RESTAURANT,ristorante
39.815574,15.788211,ov_ristorante_al_corsaro_39.8156_15.7882,Ristorante Al Corsaro,RESTAURANT,ristorante
39.816302,15.788483,ov_vigri_39.8163_15.7885,Vigri,RESTAURANT,ristorante
39.816835,15.791224,ov_viatattia_stile_calabrese_39.8168_15.7912,Viatattia Stile Calabrese,RESTAURANT,ristorante
39.817661,15.791093,ov_antica_trattoria_a__taverna_39.8177_15.7911,Antica Trattoria A' Taverna,RESTAURANT,ristorante
39.815482,15.789770,ov_ristorante_insieme_39.8155_15.7898,Ristorante insieme,RESTAURANT,ristorante
39.814809,15.789751,ov_pizzeria_cornetteria_di_bella_group_39.8148_15.7898,Pizzeria Cornetteria Di Bella Group,RESTAURANT,ristorante
39.815890,15.791015,ov_ristorante_tari_39.8159_15.7910,Ristorante Tari,RESTAURANT,ristorante
39.816029,15.790934,ov_donna_concetta_vini___sfizi_39.8160_15.7909,Donna Concetta Vini & Sfizi,RESTAURANT,ristorante
39.814307,15.791759,ov_la_piccola_positano_39.8143_15.7918,La Piccola Positano,RESTAURANT,ristorante
39.814135,15.791464,ov_club_nautica_lo_scoglio_39.8141_15.7915,Club Nautica Lo Scoglio,RESTAURANT,ristorante
39.814398,15.791204,ov_vularie_siciliane_39.8144_15.7912,Vularie Siciliane,RESTAURANT,ristorante
39.812140,15.789708,ov_pizzeria_il_dragone_39.8121_15.7897,Pizzeria il dragone,RESTAURANT,ristorante
39.814540,15.790397,ov_le_tentazioni_39.8145_15.7904,Le Tentazioni,RESTAURANT,ristorante
39.811921,15.787666,ov_nautica_lo_scoglio_39.8119_15.7877,Nautica Lo Scoglio,RESTAURANT,ristorante
39.812321,15.789305,ov_ristorante_la_playa_39.8123_15.7893,Ristorante La Playa,RESTAURANT,ristorante
39.810278,15.787916,ov_camping_la_pantera_rosa_di_corrente_dome_39.8103_15.7879,Camping la Pantera Rosa di Corrente Domenico,RESTAURANT,ristorante
39.809405,15.790163,ov_pizzeria_mediterranea_39.8094_15.7902,Pizzeria Mediterranea,RESTAURANT,ristorante
39.809329,15.790367,ov_fast_food_stuzzicante_scalea_39.8093_15.7904,Fast Food Stuzzicante Scalea,RESTAURANT,ristorante
39.809300,15.790540,ov_lem____i_sentieri_del_gusto_39.8093_15.7905,Lemì - i sentieri del gusto,RESTAURANT,ristorante
39.810699,15.789894,ov_pizzeria_del_corso_39.8107_15.7899,Pizzeria Del Corso,RESTAURANT,ristorante
39.810818,15.789701,ov_il_corsaro_39.8108_15.7897,Il Corsaro,RESTAURANT,ristorante
39.810924,15.790082,ov_puroburger_39.8109_15.7901,PuroBurger,RESTAURANT,ristorante
39.810820,15.792130,ov_pizzeria_d_agost__39.8108_15.7921,Pizzeria D'Agostì,RESTAURANT,ristorante
39.810362,15.792313,ov_la_forneria_di_claudio_bernardo_39.8104_15.7923,La Forneria di Claudio Bernardo,RESTAURANT,ristorante
39.811741,15.792825,ov_golden_beef_39.8117_15.7928,Golden Beef,RESTAURANT,ristorante
39.813660,15.792230,ov_oll_39.8137_15.7922,OLL,RESTAURANT,ristorante
39.813857,15.791779,ov_pizzeria_la_piazzetta_39.8139_15.7918,Pizzeria La piazzetta,RESTAURANT,ristorante
39.813909,15.792273,ov_fahd_sushi_bar_39.8139_15.7923,FAHD Sushi bar,RESTAURANT,ristorante
39.813390,15.793464,ov_spizzica_39.8134_15.7935,Spizzica,RESTAURANT,ristorante
39.812767,15.795770,ov_osteria_l_oliva_39.8128_15.7958,Osteria L'Oliva,RESTAURANT,ristorante
39.809759,15.794810,ov_pizzeria_vesuvio_39.8098_15.7948,Pizzeria Vesuvio,RESTAURANT,ristorante
39.809449,15.795550,ov_pepe_rosa_39.8094_15.7956,Pepe rosa,RESTAURANT,ristorante
39.809422,15.795495,ov_prosciutteria_la_rondinella_39.8094_15.7955,Prosciutteria La Rondinella,RESTAURANT,ristorante
39.808533,15.795852,ov_pizzeria_madre_flora_39.8085_15.7959,Pizzeria Madre Flora,RESTAURANT,ristorante
39.814878,15.796402,ov_il_rifugio_montano_39.8149_15.7964,Il Rifugio Montano,RESTAURANT,ristorante
39.815332,15.791787,ov_la_rondinella_osteria_pop_39.8153_15.7918,La Rondinella Osteria Pop,RESTAURANT,ristorante
39.812750,15.800960,ov_caf__retr__39.8128_15.8010,Cafè Retrò,RESTAURANT,bar_cafe
39.776254,15.827737,ov_birra_cala_39.7763_15.8277,Birra Cala,RESTAURANT,bar_cafe
39.779460,15.815580,ov_bar_union_cafe__scalea__39.7795_15.8156,Bar Union Cafe -Scalea-,RESTAURANT,bar_cafe
39.808060,15.799820,ov_pasticceria_daniela_39.8081_15.7998,Pasticceria Daniela,RESTAURANT,bar_cafe
39.805855,15.797039,ov_bar_la_quercia_39.8059_15.7970,Bar La Quercia,RESTAURANT,bar_cafe
39.804218,15.796774,ov_clandestino_social_pub_39.8042_15.7968,Clandestino Social Pub,RESTAURANT,bar_cafe
39.800660,15.798408,ov_blanco_cafe_bistrot_39.8007_15.7984,Blanco Cafe Bistrot,RESTAURANT,bar_cafe
39.803810,15.794929,ov_bar_arenile_39.8038_15.7949,Bar Arenile,RESTAURANT,bar_cafe
39.805120,15.794520,ov_italia_calabria_cosenza_scalea_39.8051_15.7945,Italia Calabria Cosenza Scalea,RESTAURANT,bar_cafe
39.805230,15.794613,ov_bar_free_time_39.8052_15.7946,Bar Free Time,RESTAURANT,bar_cafe
39.805978,15.796110,ov_civico_264___lounge_bar_39.8060_15.7961,Civico 264 - Lounge bar,RESTAURANT,bar_cafe
39.805976,15.796174,ov_ristopub_da_gegge_39.8060_15.7962,Ristopub da Gegge,RESTAURANT,bar_cafe
