# lat,lng,id,name,building_type,type,url,page_type
# girifalco -- restaurants
38.805226,16.401315,ov_il_falco_d_oro_38.8052_16.4013,Il Falco d’oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/il_falco_doro_38.8052_16.4013.json,custom
38.820317,16.426460,ov_vidocq___wine_beer_food_38.8203_16.4265,Vidocq - Wine Beer Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/vidocq_-_wine_beer_food_38.8203_16.4265.json,custom
38.821284,16.426361,ov_re_artu_38.8213_16.4264,Re Artu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/re_artu_38.8213_16.4264.json,custom
38.828653,16.428652,ov_officina_del_gusto_di_salvatore_scicchit_38.8287_16.4287,Officina Del Gusto di Salvatore Scicchitano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/officina_del_gusto_di_salvatore_scicchit_38.8287_16.4287.json,custom
38.827611,16.429167,ov_ristorante_il_falco_38.8276_16.4292,Ristorante il Falco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/ristorante_il_falco_38.8276_16.4292.json,custom
38.827611,16.429167,ov_la_duchessa_di_barak_38.8276_16.4292,La Duchessa di Barak,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/la_duchessa_di_barak_38.8276_16.4292.json,custom
38.827611,16.429167,ov_santa_caterina___pub_ristorante_pizzeria_38.8276_16.4292,Santa Caterina - Pub Ristorante Pizzeria - Eventi Notturni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/santa_caterina_-_pub_ristorante_pizzeria_38.8276_16.4292.json,custom
38.827443,16.428017,ov_cuore___sapore_38.8274_16.4280,Cuore & Sapore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/cuore_sapore_38.8274_16.4280.json,custom
38.824505,16.425030,ov_crunchy_pizza_3_0_38.8245_16.4250,Crunchy pizza 3.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/crunchy_pizza_30_38.8245_16.4250.json,custom
38.824790,16.425030,ov_pizzeria_la_pulce_38.8248_16.4250,Pizzeria La Pulce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/pizzeria_la_pulce_38.8248_16.4250.json,custom
38.896550,16.584675,ov_il_falco_d_oro_38.8966_16.5847,Il Falco d'oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/girifalco/pages/il_falco_doro_38.8966_16.5847.json,custom
