# lat,lng,id,name,building_type,type,url,page_type
# Salsomaggiore Terme -- Tutti
44.815820,9.984684,ov_airone_poliambulatorio_44.8158_9.9847,Airone Poliambulatorio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/airone_poliambulatorio_44.8158_9.9847.json,custom
44.801807,10.022541,ov_hotel_be_me_44.8018_10.0225,Hotel BE ME,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/hotel_be_me_44.8018_10.0225.json,custom
44.806163,10.010183,ov_al_pirata_44.8062_10.0102,Al Pirata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/al_pirata_44.8062_10.0102.json,custom
44.798337,9.965015,ov_agriturismo_la_volta_44.7983_9.9650,Agriturismo LA VOLTA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/agriturismo_la_volta_44.7983_9.9650.json,custom
44.807400,9.961581,ov_golosia_la_cioppa_44.8074_9.9616,Golosia La Cioppa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/golosia_la_cioppa_44.8074_9.9616.json,custom
44.818640,9.965843,ov_osteria_bellaria_44.8186_9.9658,Osteria Bellaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/osteria_bellaria_44.8186_9.9658.json,custom
44.816343,9.971131,ov_pizzeria_luna_nuova_44.8163_9.9711,Pizzeria Luna Nuova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/pizzeria_luna_nuova_44.8163_9.9711.json,custom
44.816693,9.976751,ov_myshibuya_sushi_point_44.8167_9.9768,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/myshibuya_sushi_point_44.8167_9.9768.json,custom
44.815562,9.977722,ov_osteria_parmamenu_44.8156_9.9777,Osteria Parmamenu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/osteria_parmamenu_44.8156_9.9777.json,custom
44.815329,9.979014,ov_zb_bistrot_44.8153_9.9790,ZB Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/zb_bistrot_44.8153_9.9790.json,custom
44.815409,9.978774,ov_osteria_del_castellazzo_44.8154_9.9788,Osteria del Castellazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/osteria_del_castellazzo_44.8154_9.9788.json,custom
44.814755,9.980321,ov_ristorante_i_due_leoni_44.8148_9.9803,Ristorante I Due Leoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/ristorante_i_due_leoni_44.8148_9.9803.json,custom
44.812217,9.984793,ov_pizzeria_ristorante_gioiello_44.8122_9.9848,Pizzeria Ristorante Gioiello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/pizzeria_ristorante_gioiello_44.8122_9.9848.json,custom
44.813248,9.983351,ov_bel_sit_di_zanchetta_claudio_44.8132_9.9834,Bel Sit di Zanchetta Claudio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bel_sit_di_zanchetta_claudio_44.8132_9.9834.json,custom
