# lat,lng,id,name,building_type,type
# teggiano -- restaurants
40.380637,15.539397,osm_stuzzico_teggiano_40.3806_15.5394,Stuzzico Teggiano,ristorante,ristorante
40.381404,15.538419,osm_caff__dei_principi_40.3814_15.5384,Caffè dei Principi,ristorante,ristorante
40.379654,15.539393,osm_la_dispensa_di_casa_amaro_teggiano_40.3797_15.5394,La Dispensa di Casa Amaro Teggiano,ristorante,ristorante
40.377952,15.521646,osm_ristorante_romantica_40.3780_15.5216,Ristorante Romantica,ristorante,ristorante
40.395048,15.515257,osm_giardino_takeaway_40.3950_15.5153,Giardino TakeAway,ristorante,ristorante
40.364750,15.574420,ov_la_contadinella_40.3648_15.5744,La Contadinella,RESTAURANT,ristorante
40.379140,15.539547,ov_stuzzico_40.3791_15.5395,Stuzzico,RESTAURANT,ristorante
40.379520,15.539630,ov_biologicamente_40.3795_15.5396,BioLogicamente,RESTAURANT,ristorante
40.380412,15.541449,ov_il_buon_gusto_40.3804_15.5414,Il Buon Gusto,RESTAURANT,ristorante
40.379664,15.532724,ov_napo_sushi___pizza_40.3797_15.5327,Napo Sushi & Pizza,RESTAURANT,ristorante
40.379331,15.559234,ov_frittomania_di_sergio_e_rossella_40.3793_15.5592,FrittoMania di Sergio e Rossella,RESTAURANT,ristorante
40.391469,15.533861,ov_bar_pizzeria_italia_40.3915_15.5339,Bar Pizzeria Italia,RESTAURANT,ristorante
40.401174,15.531304,ov_la_locanda_degli_eventi_40.4012_15.5313,La locanda degli Eventi,RESTAURANT,ristorante
40.383471,15.603841,ov_pizzeria_modi__40.3835_15.6038,Pizzeria Modi',RESTAURANT,ristorante
40.399050,15.522390,ov_lievito_4_0_40.3991_15.5224,Lievito 4.0,RESTAURANT,ristorante
40.381301,15.499949,ov_ristorante_pizzeria_la_rotonda_40.3813_15.4999,Ristorante Pizzeria La Rotonda,RESTAURANT,ristorante
40.378121,15.521837,ov_romantica_40.3781_15.5218,Romantica,RESTAURANT,ristorante
