# lat,lng,id,name,building_type,type,url,page_type
# matelica -- restaurants
43.254113,13.052574,ov_agriturismo_cavaliere_errante_43.2541_13.0526,Agriturismo Cavaliere Errante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/agriturismo_cavaliere_errante_43.2541_13.0526.json,custom
43.258021,13.008855,ov_lintuli_lapperla_43.2580_13.0089,Lintuli Lapperla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/lintuli_lapperla_43.2580_13.0089.json,custom
43.257489,13.008920,ov_matelica_kebab_43.2575_13.0089,Matelica Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/matelica_kebab_43.2575_13.0089.json,custom
43.259396,13.012037,ov_country_house_salomone_ristoro_rurale_ap_43.2594_13.0120,Country House Salomone Ristoro Rurale Apicoltura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/country_house_salomone_ristoro_rurale_ap_43.2594_13.0120.json,custom
43.255329,13.007393,ov_enoteca_al_teatro_43.2553_13.0074,Enoteca al Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/enoteca_al_teatro_43.2553_13.0074.json,custom
43.255702,13.008541,ov_pizzeria_speedy_43.2557_13.0085,Pizzeria Speedy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/pizzeria_speedy_43.2557_13.0085.json,custom
43.256119,13.008418,ov_ristorante_mosaico_al_teatro_43.2561_13.0084,Ristorante Mosaico al Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/ristorante_mosaico_al_teatro_43.2561_13.0084.json,custom
43.254080,13.007482,ov_ristorante_secondo_tempo_43.2541_13.0075,Ristorante Secondo Tempo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/ristorante_secondo_tempo_43.2541_13.0075.json,custom
43.254268,13.008266,ov_la_buona_tavola_43.2543_13.0083,La Buona Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/la_buona_tavola_43.2543_13.0083.json,custom
43.253950,13.009534,ov_il_mondo_di_gio_43.2540_13.0095,Il Mondo di Gio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/il_mondo_di_gio_43.2540_13.0095.json,custom
43.253359,13.007532,ov_pizzeria_catia_di_ciccolini_maria_teresa_43.2534_13.0075,Pizzeria Catia di Ciccolini Maria Teresa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/pizzeria_catia_di_ciccolini_maria_teresa_43.2534_13.0075.json,custom
43.253165,13.008344,ov_pizzeria_kata_43.2532_13.0083,Pizzeria Kata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/pizzeria_kata_43.2532_13.0083.json,custom
43.251195,13.008062,ov_trattoria_anna_43.2512_13.0081,Trattoria Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/trattoria_anna_43.2512_13.0081.json,custom
43.250964,13.008183,ov_al_piano_di_sopra_43.2510_13.0082,Al Piano Di Sopra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/al_piano_di_sopra_43.2510_13.0082.json,custom
43.251848,13.008978,ov_lucien79_43.2518_13.0090,Lucien79,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/lucien79_43.2518_13.0090.json,custom
43.248737,13.007512,ov_la_gustosa_43.2487_13.0075,La Gustosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/la_gustosa_43.2487_13.0075.json,custom
43.248570,13.010480,ov_la_ristopescheria_di_adele_43.2486_13.0105,La RistoPescheria di Adele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/la_ristopescheria_di_adele_43.2486_13.0105.json,custom
43.247659,13.010075,ov_la_biga_43.2477_13.0101,La Biga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/la_biga_43.2477_13.0101.json,custom
43.247681,13.010201,ov_bar_pizzeria_la_rosa_dei_venti_43.2477_13.0102,Bar Pizzeria La Rosa Dei Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/bar_pizzeria_la_rosa_dei_venti_43.2477_13.0102.json,custom
43.245003,13.014499,ov_mizu___ristorante_cinese_e_giapponese_43.2450_13.0145,Mizu - Ristorante Cinese e Giapponese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/mizu_-_ristorante_cinese_e_giapponese_43.2450_13.0145.json,custom
43.272551,13.003204,ov_ristorante_self_gma_ristorazione_43.2726_13.0032,Ristorante Self GMA Ristorazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/ristorante_self_gma_ristorazione_43.2726_13.0032.json,custom
43.306273,13.025168,ov_agriturismo_il_colle_del_sole_43.3063_13.0252,Agriturismo Il Colle del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/agriturismo_il_colle_del_sole_43.3063_13.0252.json,custom
43.247633,13.010129,osm_pizzeria_bar_la_biga_43.2476_13.0101,Pizzeria Bar La Biga,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/pizzeria_bar_la_biga_43.2476_13.0101.json,custom
43.251883,13.008997,osm_pizzeria_lucien_79_43.2519_13.0090,Pizzeria Lucien'79,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/pizzeria_lucien79_43.2519_13.0090.json,custom
43.251480,13.009692,osm_zero_pop_mercato_43.2515_13.0097,Zero Pop Mercato,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/zero_pop_mercato_43.2515_13.0097.json,custom
