# lat,lng,id,name,building_type,type,url,page_type
# fonte_nuova -- restaurants.csv
41.930923,12.616220,ov_il__fienile_41.9309_12.6162,il  fienile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/il_fienile_41.9309_12.6162.json,custom
41.932938,12.588920,ov_roma_via_tiburtina_1103_41.9329_12.5889,Roma via Tiburtina 1103,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/roma_via_tiburtina_1103_41.9329_12.5889.json,custom
41.971743,12.540458,ov_roma_porta_di_roma_41.9717_12.5405,Roma Porta di Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/roma_porta_di_roma_41.9717_12.5405.json,custom
42.007623,12.619539,ov_agriturismo_la_cerquetta_42.0076_12.6195,Agriturismo La Cerquetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/agriturismo_la_cerquetta_42.0076_12.6195.json,custom
42.002450,12.626210,ov_antichi_sapori_fonte_nuova_42.0025_12.6262,Antichi Sapori Fonte Nuova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/antichi_sapori_fonte_nuova_42.0025_12.6262.json,custom
42.002366,12.626809,ov_zia_pizza_sas_42.0024_12.6268,Zia Pizza sas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/zia_pizza_sas_42.0024_12.6268.json,custom
42.002413,12.624667,ov_a_mare_ristorante_42.0024_12.6247,A'Mare Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/amare_ristorante_42.0024_12.6247.json,custom
42.001474,12.627761,ov_chiamalapizza_42.0015_12.6278,Chiamalapizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/chiamalapizza_42.0015_12.6278.json,custom
42.001472,12.627610,ov_noi_ristorante_42.0015_12.6276,Noi Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/noi_ristorante_42.0015_12.6276.json,custom
42.000015,12.628779,ov_ristorante_sale_42.0000_12.6288,Ristorante Sale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ristorante_sale_42.0000_12.6288.json,custom
41.999138,12.627544,ov_divoras_41.9991_12.6275,Divoras,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/divoras_41.9991_12.6275.json,custom
41.999145,12.627774,ov_silver_fox_41.9991_12.6278,Silver Fox,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/silver_fox_41.9991_12.6278.json,custom
41.999038,12.627675,ov_mini_pizza_41.9990_12.6277,Mini Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/mini_pizza_41.9990_12.6277.json,custom
41.999234,12.626358,ov_il_portico_41.9992_12.6264,Il Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/il_portico_41.9992_12.6264.json,custom
41.998625,12.624060,ov_kebabbaro_41.9986_12.6241,Kebabbaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/kebabbaro_41.9986_12.6241.json,custom
41.998752,12.622614,ov_sushi_qoo_41.9988_12.6226,Sushi Qoo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/sushi_qoo_41.9988_12.6226.json,custom
41.998331,12.621226,ov_pizzeria_giuseppucci_41.9983_12.6212,Pizzeria Giuseppucci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/pizzeria_giuseppucci_41.9983_12.6212.json,custom
41.997025,12.620119,ov_latrinita_pizza_kebab_tavola_calda_41.9970_12.6201,Latrinita Pizza Kebab Tavola Calda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/latrinita_pizza_kebab_tavola_calda_41.9970_12.6201.json,custom
41.995980,12.619252,ov_chicken_hut_41.9960_12.6193,Chicken Hut,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/chicken_hut_41.9960_12.6193.json,custom
41.996383,12.621241,ov_la_nostra_pizzeria_41.9964_12.6212,La Nostra Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/la_nostra_pizzeria_41.9964_12.6212.json,custom
41.993208,12.620344,ov_ristorante_pizzeria_donna_rosa_41.9932_12.6203,Ristorante Pizzeria Donna Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ristorante_pizzeria_donna_rosa_41.9932_12.6203.json,custom
41.991026,12.617649,ov_dal_lucano___pizzeria___tavola_calda_41.9910_12.6176,Dal Lucano - Pizzeria & Tavola Calda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/dal_lucano_-_pizzeria_tavola_calda_41.9910_12.6176.json,custom
41.991220,12.616870,ov_vitamina_p_41.9912_12.6169,Vitamina P,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/vitamina_p_41.9912_12.6169.json,custom
41.991260,12.616780,ov_ristorante_pizzeria_romacapitale_41.9913_12.6168,Ristorante Pizzeria RomaCapitale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ristorante_pizzeria_romacapitale_41.9913_12.6168.json,custom
41.992480,12.618713,ov_pizzeria_il_cavaliere_41.9925_12.6187,Pizzeria Il Cavaliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/pizzeria_il_cavaliere_41.9925_12.6187.json,custom
41.993772,12.616959,ov_armillei_house_s_41.9938_12.6170,Armillei house's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/armillei_houses_41.9938_12.6170.json,custom
41.993496,12.620480,ov_pizzeria_lo_spicchio_da_pino_41.9935_12.6205,Pizzeria Lo Spicchio da Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/pizzeria_lo_spicchio_da_pino_41.9935_12.6205.json,custom
41.994447,12.621664,ov_ciak_che_pizza_41.9944_12.6217,Ciak Che Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ciak_che_pizza_41.9944_12.6217.json,custom
41.994886,12.618915,ov_noi_streetfood_41.9949_12.6189,Noi StreetFood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/noi_streetfood_41.9949_12.6189.json,custom
41.994738,12.618977,ov_alice_pizza_tor_lupara_41.9947_12.6190,Alice Pizza Tor Lupara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/alice_pizza_tor_lupara_41.9947_12.6190.json,custom
41.995416,12.616862,ov_i_due_pini_41.9954_12.6169,I Due Pini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/i_due_pini_41.9954_12.6169.json,custom
41.995307,12.617675,ov_all_antica_pizza_e_cucina_41.9953_12.6177,All’Antica Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/allantica_pizza_e_cucina_41.9953_12.6177.json,custom
41.995431,12.614677,ov_pizzeria_mc_mario_41.9954_12.6147,Pizzeria Mc Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/pizzeria_mc_mario_41.9954_12.6147.json,custom
41.996207,12.614969,ov_locanda_a_24_41.9962_12.6150,Locanda A 24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/locanda_a_24_41.9962_12.6150.json,custom
41.996165,12.614960,ov_l_arrosticino_wine_and_beer_41.9962_12.6150,L'Arrosticino Wine and Beer,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/larrosticino_wine_and_beer_41.9962_12.6150.json,custom
41.987842,12.618693,ov_komugi_sushi_41.9878_12.6187,Komugi Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/komugi_sushi_41.9878_12.6187.json,custom
41.990848,12.618543,ov_ristorante_da_luigino_41.9908_12.6185,Ristorante Da Luigino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ristorante_da_luigino_41.9908_12.6185.json,custom
41.981600,12.656280,ov_sushi_excellence___sushi_away_41.9816_12.6563,Sushi Excellence - Sushi Away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/sushi_excellence_-_sushi_away_41.9816_12.6563.json,custom
41.981756,12.656188,ov_osteria_nonna_rosa_41.9818_12.6562,Osteria Nonna Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/osteria_nonna_rosa_41.9818_12.6562.json,custom
41.982339,12.656641,ov_ci_penso_io_ristorante_e_catering_41.9823_12.6566,Ci Penso Io Ristorante E Catering,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ci_penso_io_ristorante_e_catering_41.9823_12.6566.json,custom
41.984928,12.658437,ov_ristorante_antica_roma_41.9849_12.6584,Ristorante Antica Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ristorante_antica_roma_41.9849_12.6584.json,custom
41.984588,12.658291,ov_mago_della_pizza_41.9846_12.6583,Mago Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/mago_della_pizza_41.9846_12.6583.json,custom
41.988718,12.660462,ov_nuraghe_express_41.9887_12.6605,Nuraghe Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/nuraghe_express_41.9887_12.6605.json,custom
41.992790,12.663190,ov_mammamia_wine_art_caf__41.9928_12.6632,Mammamia wine art cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/mammamia_wine_art_caf_41.9928_12.6632.json,custom
41.992043,12.662733,ov_bar_innocenzi_41.9920_12.6627,Bar Innocenzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/bar_innocenzi_41.9920_12.6627.json,custom
41.991952,12.662937,ov_casa_della_pizza_41.9920_12.6629,Casa Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/casa_della_pizza_41.9920_12.6629.json,custom
41.991329,12.662517,ov_cucina_e_passione_41.9913_12.6625,Cucina e Passione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/cucina_e_passione_41.9913_12.6625.json,custom
41.991110,12.662578,ov_turkish_istanbul_pizza___kebab_41.9911_12.6626,Turkish Istanbul Pizza & Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/turkish_istanbul_pizza_kebab_41.9911_12.6626.json,custom
41.999881,12.668030,ov_bistrot_291_41.9999_12.6680,Bistrot 291,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/bistrot_291_41.9999_12.6680.json,custom
41.998747,12.647838,ov_villa_vertigo_by_cibum_41.9987_12.6478,Villa Vertigo by CIBUM,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/villa_vertigo_by_cibum_41.9987_12.6478.json,custom
42.002271,12.633339,ov_dk33_42.0023_12.6333,DK33,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/dk33_42.0023_12.6333.json,custom
42.007952,12.635765,ov_amore_mio_ristorante_42.0080_12.6358,AMORE MIO Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/amore_mio_ristorante_42.0080_12.6358.json,custom
42.007968,12.635621,ov_ristorante_lupo_di_mare_42.0080_12.6356,Ristorante Lupo di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ristorante_lupo_di_mare_42.0080_12.6356.json,custom
42.007831,12.635531,ov_tony_ristorante_pizzeria_42.0078_12.6355,Tony Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/tony_ristorante_pizzeria_42.0078_12.6355.json,custom
42.006687,12.634959,ov_ristorante_mammanonna_42.0067_12.6350,Ristorante Mammanonna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ristorante_mammanonna_42.0067_12.6350.json,custom
42.007186,12.631793,ov_ristorante_pizzeria_da_max_colonna_42.0072_12.6318,Ristorante Pizzeria da Max Colonna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/ristorante_pizzeria_da_max_colonna_42.0072_12.6318.json,custom
42.007036,12.669248,ov_orveca_breakfast_solution_42.0070_12.6692,Orveca Breakfast Solution,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/orveca_breakfast_solution_42.0070_12.6692.json,custom
41.981475,12.657953,ov_la_lanterna_41.9815_12.6580,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/la_lanterna_41.9815_12.6580.json,custom
41.979782,12.654049,ov_l_altro_locale_41.9798_12.6540,L'Altro Locale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/fonte_nuova/pages/laltro_locale_41.9798_12.6540.json,custom
