# lat,lng,id,name,building_type,type,url,page_type
# san_giuliano_terme -- restaurants.csv
45.326371,11.790026,ov_la_botte_pizzeria_45.3264_11.7900,La Botte Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/la_botte_pizzeria_45.3264_11.7900.json,custom
43.003865,11.515591,ov_ristorante_silene_43.0039_11.5156,Ristorante Silene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ristorante_silene_43.0039_11.5156.json,custom
43.737876,10.333043,ov_ristorante_la_sterpaia_43.7379_10.3330,Ristorante La Sterpaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ristorante_la_sterpaia_43.7379_10.3330.json,custom
43.742287,10.374339,ov_ristorante_andrea_s_43.7423_10.3743,Ristorante Andrea's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ristorante_andreas_43.7423_10.3743.json,custom
43.739922,10.372729,ov_yuga_sushi_restaurant_pisa_43.7399_10.3727,Yuga Sushi Restaurant Pisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/yuga_sushi_restaurant_pisa_43.7399_10.3727.json,custom
43.737706,10.429779,ov_osteria_da_biagio_43.7377_10.4298,Osteria da Biagio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/osteria_da_biagio_43.7377_10.4298.json,custom
43.729014,10.422225,ov_pizza_a_go_go_pisa_43.7290_10.4222,Pizza a Go-go PISA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/pizza_a_go-go_pisa_43.7290_10.4222.json,custom
43.729300,10.420240,ov_cibiamo_43.7293_10.4202,Cibiamo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/cibiamo_43.7293_10.4202.json,custom
43.726372,10.420355,ov_double30_43.7264_10.4204,Double30,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/double30_43.7264_10.4204.json,custom
43.726127,10.455533,ov_al_circolo_pizzeria_43.7261_10.4555,Al Circolo Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/al_circolo_pizzeria_43.7261_10.4555.json,custom
43.724482,10.444208,ov_ristorante_la_panacea_di_pulizzi_r__sas_43.7245_10.4442,Ristorante La Panacea di Pulizzi R. Sas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ristorante_la_panacea_di_pulizzi_r_sas_43.7245_10.4442.json,custom
43.722928,10.443075,ov_pane___delizie_43.7229_10.4431,Pane & Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/pane_delizie_43.7229_10.4431.json,custom
43.721431,10.443993,ov_osteria_dell_usignolo_43.7214_10.4440,Osteria dell'Usignolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/osteria_dellusignolo_43.7214_10.4440.json,custom
43.721300,10.422627,ov_i_condotti_43.7213_10.4226,I Condotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/i_condotti_43.7213_10.4226.json,custom
43.722283,10.424668,ov_il_pizzomane_43.7223_10.4247,Il Pizzomane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/il_pizzomane_43.7223_10.4247.json,custom
43.722702,10.428128,ov_agristeria_43.7227_10.4281,Agristeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/agristeria_43.7227_10.4281.json,custom
43.722631,10.428215,ov_m_dimsum_sushi_43.7226_10.4282,M.Dimsum Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/mdimsum_sushi_43.7226_10.4282.json,custom
43.722900,10.428122,ov_l_oasi_43.7229_10.4281,L'Oasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/loasi_43.7229_10.4281.json,custom
43.723390,10.433070,ov_sali_scendi_pub_43.7234_10.4331,Sali Scendi Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/sali_scendi_pub_43.7234_10.4331.json,custom
43.724427,10.420476,ov_ristorante_318_43.7244_10.4205,Ristorante 318,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ristorante_318_43.7244_10.4205.json,custom
43.725748,10.417970,ov_sushi_pisa_43.7257_10.4180,Sushi Pisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/sushi_pisa_43.7257_10.4180.json,custom
43.725544,10.417734,ov_pisa_43.7255_10.4177,PISA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/pisa_43.7255_10.4177.json,custom
43.723078,10.472550,ov_la_tana_del_drago_fumante_43.7231_10.4725,La Tana del Drago Fumante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/la_tana_del_drago_fumante_43.7231_10.4725.json,custom
43.725722,10.461397,ov_controcorrente_43.7257_10.4614,Controcorrente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/controcorrente_43.7257_10.4614.json,custom
43.735770,10.476290,ov_village_lungomonte_eventi_43.7358_10.4763,Village Lungomonte Eventi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/village_lungomonte_eventi_43.7358_10.4763.json,custom
43.749001,10.466751,ov_ristorante_pizzeria_braceria_la_faeta_43.7490_10.4668,Ristorante Pizzeria Braceria La Faeta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ristorante_pizzeria_braceria_la_faeta_43.7490_10.4668.json,custom
43.747816,10.462176,ov_route_66_43.7478_10.4622,Route 66,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/route_66_43.7478_10.4622.json,custom
43.758061,10.461226,ov_la_valle___ristorante_e_pizzeria_43.7581_10.4612,La Valle - Ristorante e Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/la_valle_-_ristorante_e_pizzeria_43.7581_10.4612.json,custom
43.772113,10.411048,ov_la_grande_rustichella_43.7721_10.4110,La Grande Rustichella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/la_grande_rustichella_43.7721_10.4110.json,custom
43.775000,10.422491,ov_villa_pizzi__orzignano_43.7750_10.4225,"villa Pizzi, Orzignano",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/villa_pizzi_orzignano_43.7750_10.4225.json,custom
43.773097,10.368112,ov_ponte_d_oro_43.7731_10.3681,Ponte d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ponte_doro_43.7731_10.3681.json,custom
43.773734,10.372301,ov_arme_osteria_43.7737_10.3723,Arme Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/arme_osteria_43.7737_10.3723.json,custom
43.773467,10.371530,ov_pizzeria_tavola_calda_la_baita_43.7735_10.3715,Pizzeria Tavola Calda La Baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/pizzeria_tavola_calda_la_baita_43.7735_10.3715.json,custom
43.763427,10.362593,ov_osteria_lago_ponte_d_oro_43.7634_10.3626,Osteria Lago Ponte d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/osteria_lago_ponte_doro_43.7634_10.3626.json,custom
43.761581,10.363868,ov_binomio_enogastronomia_43.7616_10.3639,Binomio Enogastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/binomio_enogastronomia_43.7616_10.3639.json,custom
43.761471,10.363826,ov_osteria_retrobottega_43.7615_10.3638,Osteria Retrobottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/osteria_retrobottega_43.7615_10.3638.json,custom
43.764447,10.410438,ov_ristorante_le_arcate_43.7644_10.4104,Ristorante Le Arcate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ristorante_le_arcate_43.7644_10.4104.json,custom
43.762897,10.440827,ov_bar_da_ennio_43.7629_10.4408,Bar da Ennio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/bar_da_ennio_43.7629_10.4408.json,custom
