# lat,lng,id,name,building_type,type
# venosa -- restaurants
40.772264,15.796928,ov_punto_sosta_san_giorgio_40.7723_15.7969,Punto Sosta San Giorgio,RESTAURANT,ristorante
41.012648,15.873921,ov_agriturismo_carpe_diem___venosa__pz__41.0126_15.8739,Agriturismo Carpe Diem - Venosa (pz),RESTAURANT,ristorante
40.971300,15.811076,ov_sala_ricevimenti_l_oasi_40.9713_15.8111,Sala Ricevimenti L'Oasi,RESTAURANT,ristorante
40.962858,15.820470,ov_bracere_40.9629_15.8205,BraceRe,RESTAURANT,ristorante
40.961890,15.819950,ov_locanda_accademia_dei_piacevoli_40.9619_15.8200,Locanda Accademia dei PIacevoli,RESTAURANT,ristorante
40.962320,15.817175,ov_taverna_ducale_40.9623_15.8172,Taverna Ducale,RESTAURANT,ristorante
40.961723,15.817985,ov_pizzeria_il_porticato_40.9617_15.8180,Pizzeria Il Porticato,RESTAURANT,ristorante
40.962702,15.818178,ov_ristorante_santa_maria_della_scala_40.9627_15.8182,Ristorante Santa Maria della Scala,RESTAURANT,ristorante
40.963255,15.820818,ov_locanda_oraziana_40.9633_15.8208,Locanda Oraziana,RESTAURANT,ristorante
40.963556,15.821462,ov_al_baliaggio_40.9636_15.8215,Al Baliaggio,RESTAURANT,ristorante
40.963615,15.821470,ov_pierpaolo_angelastro_40.9636_15.8215,Pierpaolo Angelastro,RESTAURANT,ristorante
40.963615,15.821470,ov_ristorante_al_baliaggio_40.9636_15.8215,Ristorante Al Baliaggio,RESTAURANT,ristorante
40.964617,15.822674,ov_gaudete_caf____bistrot_40.9646_15.8227,Gaudete Café & Bistrot,RESTAURANT,ristorante
40.964662,15.822172,ov_colline_lucane_di_craca_antonio_40.9647_15.8222,Colline Lucane Di Craca Antonio,RESTAURANT,ristorante
40.964130,15.813544,ov_l_oasi_ristorante_ricevimenti_40.9641_15.8135,L'Oasi Ristorante Ricevimenti,RESTAURANT,ristorante
40.965654,15.822081,ov_al_frantoio_lounge_restaurant_40.9657_15.8221,Al Frantoio Lounge Restaurant,RESTAURANT,ristorante
40.965592,15.822061,ov_ristorante_pizzeria_il_porticato___ex_fr_40.9656_15.8221,Ristorante Pizzeria IL Porticato - ex frantoio,RESTAURANT,ristorante
40.966788,15.816612,ov_punto_sosta_san_giorgio_40.9668_15.8166,Punto Sosta San Giorgio,RESTAURANT,ristorante
40.967462,15.811593,ov_il_brigante_40.9675_15.8116,Il Brigante,RESTAURANT,ristorante
40.960948,15.809589,ov_spizzikoburger_40.9609_15.8096,SpizzikoBurger,RESTAURANT,ristorante
40.959522,15.803776,ov_ristorante_pizzeria_fantasy_40.9595_15.8038,Ristorante Pizzeria Fantasy,RESTAURANT,ristorante
40.958648,15.803484,ov_villa_del_sorriso_40.9586_15.8035,Villa del Sorriso,RESTAURANT,ristorante
40.958959,15.812898,ov_chiosco_sette_soli_40.9590_15.8129,Chiosco Sette Soli,RESTAURANT,ristorante
40.960608,15.815916,ov_pizzeria_mordi_e_fuggi_40.9606_15.8159,Pizzeria Mordi e Fuggi,RESTAURANT,ristorante
40.960644,15.814565,ov_plate_40.9606_15.8146,Plate,RESTAURANT,ristorante
40.960928,15.813116,ov_ghiottone_trattoria_pizzeria_bar_40.9609_15.8131,Ghiottone Trattoria Pizzeria Bar,RESTAURANT,ristorante
40.961624,15.815646,ov_panificio_sfoglia_d_oro_40.9616_15.8156,Panificio Sfoglia d'Oro,RESTAURANT,ristorante
40.961209,15.815816,ov_lo_sfizio_40.9612_15.8158,Lo Sfizio,RESTAURANT,ristorante
40.960629,15.819269,ov_ganea___pizzeria__ristorante_40.9606_15.8193,"GANEA - Pizzeria, Ristorante",RESTAURANT,ristorante
