# lat,lng,id,name,building_type,type,url,page_type
# montecosaro -- gyms
43.287860,13.630800,ov_tiro_a_volo_castellano_43.2879_13.6308,Tiro A Volo Castellano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/tiro_a_volo_castellano_43.2879_13.6308.json,custom
43.287840,13.647901,ov_armonia_studio_personal_pilates_43.2878_13.6479,Armonia Studio Personal Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/armonia_studio_personal_pilates_43.2878_13.6479.json,custom
43.286688,13.647514,ov_axionfit_43.2867_13.6475,AxionFit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/axionfit_43.2867_13.6475.json,custom
43.283202,13.647801,ov_scuola_danza_effort_43.2832_13.6478,Scuola Danza Effort,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/scuola_danza_effort_43.2832_13.6478.json,custom
43.283402,13.648189,ov_spazio_crossfit_43.2834_13.6482,Spazio CrossFit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/spazio_crossfit_43.2834_13.6482.json,custom
43.279203,13.647977,ov___motion_fit_43.2792_13.6480,È-Motion Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/-motion_fit_43.2792_13.6480.json,custom
43.283276,13.646275,ov_asd_montecosaro_43.2833_13.6463,asd Montecosaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/asd_montecosaro_43.2833_13.6463.json,custom
43.285688,13.644618,ov_centro_estetico_essere_benessere_43.2857_13.6446,Centro estetico essere&benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/centro_estetico_esserebenessere_43.2857_13.6446.json,custom
43.283520,13.636784,ov_ganesha_deva_yoga_experience_43.2835_13.6368,Ganesha Deva Yoga Experience,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/ganesha_deva_yoga_experience_43.2835_13.6368.json,custom
43.282960,13.634810,ov_esserelab_43.2830_13.6348,EssereLab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/esserelab_43.2830_13.6348.json,custom
43.271951,13.630810,ov_parco_fluviale_montecosaro_43.2720_13.6308,Parco Fluviale Montecosaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/parco_fluviale_montecosaro_43.2720_13.6308.json,custom
43.302771,13.736850,ov_kite_beach_civitanova_sup_43.3028_13.7368,Kite Beach Civitanova SUP,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montecosaro/pages/kite_beach_civitanova_sup_43.3028_13.7368.json,custom
